epoch,train_loss,val_f1,learning_rate
1,0.6947301030158997,0.4498981675014483,0.0004999691581204152
2,0.6928415298461914,0.4854542693551029,0.0004998766400914329
3,0.6913443803787231,0.5269055412279674,0.0004997224687404926
4,0.6896893978118896,0.5679906418235631,0.0004995066821070679
5,0.6883097290992737,0.5802384106024315,0.000499229333433282
6,0.6869301199913025,0.580967253656062,0.00049889049115077
7,0.6849881410598755,0.5781129241331393,0.0004984902388637949
8,0.683642566204071,0.5780111758005221,0.0004980286753286195
9,0.6819186210632324,0.5743003279922572,0.0004975059144291394
10,0.6801996827125549,0.572069286907196,0.0004969220851487844
11,0.6789073348045349,0.5708875508098494,0.0004962773315386935
12,0.677282452583313,0.5704323376542769,0.0004955718126821722
13,0.6755630373954773,0.5704073465379456,0.0004948057026554414
14,0.6749451160430908,0.5703353159777345,0.0004939791904846868
15,0.6735489368438721,0.5720998691881254,0.0004930924800994191
16,0.6726752519607544,0.5747697926046131,0.0004921457902821577
17,0.6719920635223389,0.5765380268757643,0.0004911393546144495
18,0.6706423759460449,0.5787981181845195,0.0004900734214192357
19,0.6710222959518433,0.5778575929645493,0.0004889482536995824
20,0.6703400611877441,0.5778864687909416,0.0004877641290737883
21,0.6701416969299316,0.5753773448141626,0.00048652133970688617
22,0.6701175570487976,0.5752828901260079,0.0004852201922385562
23,0.6692873239517212,0.5735218422872612,0.0004838610077074667
24,0.669038712978363,0.5744945149197673,0.00048244412147206266
25,0.6684702634811401,0.5736716728005329,0.0004809698831278215
26,0.667330265045166,0.5725715944513177,0.00047943865642099503
27,0.6679772138595581,0.5709728002877019,0.00047785081915886106
28,0.6668745875358582,0.570105983127877,0.0004762067631165046
29,0.6663386225700378,0.5717901295258487,0.00047450689394015364
30,0.6664167046546936,0.5714016942148181,0.0004727516310470917
31,0.6659010052680969,0.5732901860224774,0.00047094140752217313
32,0.6655830144882202,0.5739069857721942,0.00046907667001096557
33,0.6645627617835999,0.5722200470088636,0.00046715787860954753
34,0.6647478342056274,0.5728211090509336,0.00046518550675098564
35,0.6648287773132324,0.5714950561380265,0.0004631600410885228
36,0.6647535562515259,0.56993294923209,0.0004610819813755035
37,0.6633661389350891,0.569338270703329,0.00045895184034206734
38,0.6642312407493591,0.5693133649309537,0.00045677014356864016
39,0.663921058177948,0.569497942633917,0.0004545374293562556
40,0.6642568707466125,0.57044635185116,0.0004522542485937366
41,0.6636320352554321,0.5705449002638552,0.0004499211646217724
42,0.6638672351837158,0.5707204767063923,0.00044753875309392233
43,0.6630532741546631,0.5706080708952281,0.00044510760183458215
44,0.66339111328125,0.5716328672284601,0.000442628310693947
45,0.6629608273506165,0.5711338813952773,0.00044010149140000747
46,0.6632430553436279,0.5706711244470887,0.0004375277674076146
47,0.6626967787742615,0.5713948593197343,0.00043490777374465206
48,0.6628629565238953,0.5713318512851626,0.00043224215685535255
49,0.6623407006263733,0.5708536340699083,0.00042953157444079694
50,0.6623782515525818,0.5709171560664751,0.00042677669529663653
51,0.6630251407623291,0.571303657312797,0.0004239781991480782
52,0.6621775031089783,0.5721815283014944,0.00042113677648217187
53,0.6631689071655273,0.5716457231281565,0.000418253128377443
54,0.6623667478561401,0.5712091671778218,0.00041532796633091264
55,0.6623144149780273,0.571880195575172,0.0004123620120825456
56,0.6628308296203613,0.5713670861599677,0.0004093559974371721
57,0.6614856719970703,0.5719294424371276,0.000406310664083926
58,0.6615817546844482,0.5715776722330189,0.0004032267634132438
59,0.6614862084388733,0.5720767462436924,0.00040010505633147073
60,0.661800742149353,0.5723652258377854,0.000396946313073118
61,0.6613197922706604,0.5714795623844111,0.0003937513130108194
62,0.6620262861251831,0.5715920361126569,0.00039052084446303243
63,0.6612328886985779,0.572941530405828,0.0003872557044995327
64,0.6615344882011414,0.5739261538781139,0.0003839566987447489
65,0.6620078086853027,0.5741370547175607,0.00038062464117898695
66,0.661517322063446,0.5736084014884626,0.0003772603539375926
67,0.6618800163269043,0.5733831494224149,0.0003738646671081017
68,0.6613723039627075,0.5732705197202768,0.00037043841852542857
69,0.6609941124916077,0.5727713005630527,0.00036698245356514314
70,0.6609070897102356,0.5725122791272504,0.00036349762493488645
71,0.6616496443748474,0.5719006016455425,0.0003599847924639785
72,0.6612273454666138,0.571880195575172,0.0003564448228912679
73,0.6618872880935669,0.5708680955854322,0.00035287858965127696
74,0.6613177061080933,0.5704671850991048,0.0003492869726586949
75,0.6603965759277344,0.5703246111972571,0.0003456708580912722
76,0.6604899168014526,0.5690534025287071,0.00034203113817116924
77,0.6604071259498596,0.568680922291579,0.000338368710944814
78,0.6609272360801697,0.5673270102100577,0.0003346844800613226
79,0.6606483459472656,0.5670450733132042,0.00033097935454953704
80,0.6610851287841797,0.5663670872015553,0.00032725424859373655
81,0.6609377264976501,0.5664603629968883,0.0003235100813080757
82,0.6605991721153259,0.5667060950623427,0.0003197477765098071
83,0.6599463224411011,0.5663584313220611,0.0003159682624913429
84,0.6610512137413025,0.5666498865981566,0.0003121724717912134
85,0.660266101360321,0.567522882504613,0.0003083613409639761
86,0.6611054539680481,0.5681684672448716,0.00030453581034913543
87,0.6612257957458496,0.568281153081944,0.0003006968238391279
88,0.6604422926902771,0.5683122099127996,0.000296845328646431
89,0.6599531769752502,0.5683900165585009,0.00029298227506985216
90,0.6600296497344971,0.5677602661594238,0.0002891086162600575
