model,macro_f1
Fusion Model,0.5973581031556265
Tabular MLP,0.5519770802201545
LightGBM,0.4581006742087407
XGBoost,0.4513888821264712
Random Forest,0.4431295741193433
Logistic Regression,0.4225661284010946
